id	name	int_name	alternative_names	latitude	longitude	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	country	date
3198671	Jelšane	Jelsane	Elsane,Jelsane,Jelšane	45.50278	14.27167	P	PPL	SI		38				325		503	Europe/Ljubljana	2020-06-11
3198680	Jelovica	Jelovica	Jelova,Jelovica	46.3	14.13333	T	MT	SI		A3				0	1411	1153	Europe/Ljubljana	2019-02-19
3198682	Jelovec	Jelovec	Jelovec	46.56667	15.56667	P	PPL	SI		J2				357		300	Europe/Ljubljana	2014-04-24
3198683	Jelovec pri Makolah	Jelovec pri Makolah		46.3	15.66667	P	PPL	SI		O5				203		412	Europe/Ljubljana	2014-04-25
3198701	Jelični Vrh	Jelicni Vrh	Jelicni Vrh,Jelični Vrh,Jellici Vrh Zala	45.98083	14.06333	P	PPLL	SI		36				121		682	Europe/Ljubljana	2020-06-11
3198704	Jelenov Žleb	Jelenov Zleb	Jelenov Zleb,Jelenov Žleb	45.69167	14.66667	P	PPL	SI		L1				0		943	Europe/Ljubljana	2012-01-19
3198706	Jelenja Vas	Jelenja Vas	Jelenja Vas	45.51667	15.05	P	PPL	SI		H7				23		413	Europe/Ljubljana	2014-04-24
3198708	Jelenek	Jelenek	Jelenek	46.06056	13.97806	T	MT	SI		36				0	1107	924	Europe/Ljubljana	2018-12-05
3198710	Jelendol	Jelendol	Jelendol	45.67333	14.76361	P	PPL	SI		L1				0		516	Europe/Ljubljana	2013-04-04
3198738	Jazne	Jazne	Jazne	46.06667	14.01667	P	PPL	SI		14				117		593	Europe/Ljubljana	2014-04-24
3198742	Jazbine	Jazbine	Jazbine	46.3	15.4	P	PPL	SI		L7				49		449	Europe/Ljubljana	2014-04-24
3198744	Jazbina	Jazbina	Jazbina	46.46667	14.91667	P	PPL	SI		16				51		1088	Europe/Ljubljana	2014-04-24
3198749	Javorska Rijeka	Javorska Rijeka		46.46667	14.85	H	STM	SI		00				0		664	Europe/Ljubljana	1993-11-01
3198757	Javorniški Rovt	Javorniski Rovt	Javorniski Rovt,Javorniški Rovt	46.45	14.1	P	PPL	SI		H4				249		879	Europe/Ljubljana	2014-04-25
3198759	Javorniki	Javorniki	Javornik,Javorniki	45.73306	14.2825	T	MTS	SI		91				0		916	Europe/Ljubljana	2012-01-19
3198760	Javornik	Javornik	Javornik	46.23333	14.3	P	PPL	SI		52				65		513	Europe/Ljubljana	2014-04-24
3198766	Javorjev Vrh	Javorjev Vrh	Javorje Vrh,Javorjev Vrh	46.26639	14.09333	T	MT	SI		04				0		1240	Europe/Ljubljana	2012-02-02
3198768	Javorje	Javorje	Javorje	46.16067	14.1966	P	PPL	SI		27				186		563	Europe/Ljubljana	2014-04-26
3198769	Javorje	Javorje	Javorje	46.00083	14.85	P	PPL	SI		L9				67		486	Europe/Ljubljana	2014-04-24
3198771	Javorje	Javorje	Giavorie,Javorje	45.55028	14.1	P	PPL	SI		35				131		597	Europe/Ljubljana	2014-04-24
3198782	Javor	Javor	Javor	46.02167	14.68083	P	PPL	SI		61				174		596	Europe/Ljubljana	2014-04-24
3198786	Javor	Javor		46.16667	15.03333	T	MT	SI		D3				0		557	Europe/Ljubljana	2008-11-25
3198787	Javnik	Javnik	Javnice,Javnik,Javniče	46.6	15.36667	P	PPL	SI		K2				169		850	Europe/Ljubljana	2014-04-24
3198794	Jastrebnik	Jastrebnik	Jastrebnik	46.01667	14.78333	P	PPL	SI		L9				35		422	Europe/Ljubljana	2014-04-24
3198797	Jastrebci	Jastrebci	Jastrebci	46.44944	16.25639	P	PPL	SI		87				149		235	Europe/Ljubljana	2014-04-24
3198850	Jarše	Jarse	Jarse,Jarše	46.10605	14.93654	P	PPL	SI		E7				18		609	Europe/Ljubljana	2014-04-26
3198851	Jarše	Jarse	Jarse,Jarše,Spodnje Jarse,Spodnje Jarše	46.08333	14.55	P	PPL	SI		61				0		280	Europe/Ljubljana	2012-01-19
3198856	Jareninski Vrh	Jareninski Vrh	Jareninski Vrh	46.62696	15.7038	P	PPL	SI		89				210		300	Europe/Ljubljana	2014-04-26
3198857	Jareninski Dol	Jareninski Dol	Jareninski Dol	46.62889	15.69889	P	PPL	SI		89				391		270	Europe/Ljubljana	2014-04-24
3198873	Janževski Vrh	Janzevski Vrh	Janzevski Vrh,Janževski Vrh	46.56806	15.30472	P	PPLL	SI		K2				273		889	Europe/Ljubljana	2014-04-25
3198874	Janževa Gora	Janzeva Gora	Janzeva Gora,Janževa Gora	46.55475	15.47443	P	PPL	SI		L5				454		400	Europe/Ljubljana	2014-04-26
3198875	Janški Vrh	Janski Vrh	Janski Vrh,Janški Vrh	46.33333	15.78333	P	PPL	SI		J1				52		310	Europe/Ljubljana	2014-04-25
3198898	Janežovci	Janezovci	Janezovci,Janežovci	46.47	15.88222	P	PPL	SI		G1				105		248	Europe/Ljubljana	2014-04-25
3198899	Janeževo Brdo	Janezevo Brdo	Ianezevo Brdo,Janezevo Brdo,Janeževo Brdo,San Giovanni Berdo	45.60938	14.15194	P	PPL	SI		38				26		591	Europe/Ljubljana	2014-04-25
3198900	Janče	Jance	Jance,Jancje,Janče,Jančje	46.065	14.69649	P	PPL	SI		61				19		505	Europe/Ljubljana	2014-04-27
3198904	Jamnik	Jamnik	Jamnik	46.26667	14.21667	P	PPL	SI		52				40		566	Europe/Ljubljana	2014-04-24
3198906	Jamna	Jamna	Jamna	46.56667	16.03333	P	PPL	SI		D1				130		202	Europe/Ljubljana	2014-04-24
3198917	Jalovec	Jalovec		46.416	13.683	T	MT	SI		06				0	2645	2117	Europe/Ljubljana	2014-04-22
3198925	Jakovica	Jakovica	Jakovica	45.86056	14.25333	P	PPL	SI		64				77		488	Europe/Ljubljana	2014-04-24
3198939	Jagršče	Jagrsce	Jagersce,Jageršče,Jagrsce,Jagršče	46.09056	13.945	P	PPL	SI		14				25		586	Europe/Ljubljana	2014-04-25
